"",Simulation Results,,,,
"(n,m, d, s∗, s0, ε)",Estimation Error,cov,covS,covSc,length
"",(Sd),,,,
"(3000,15,800,15,8,0.8)",0.0213 (0.0028),0.940,0.929,0.940,0.0532
"(4000,15,800,15,8,0.8)",0.0170 (0.0032),0.945,0.960,0.944,0.0437
"(5000,15,800,15,8,0.8)",0.0141 (0.0021),0.940,0.945,0.940,0.0378
"(4000,10,800,15,8,0.8)",0.0218 (0.0047),0.945,0.945,0.945,0.0437
"(4000,20,800,15,8,0.8)",0.0126 (0.0025),0.944,0.941,0.944,0.0437
"(4000,15,600,15,8,0.8)",0.0162 (0.0031),0.946,0.933,0.946,0.0436
"(4000,15,1000,15,8,0.8)",0.0191 (0.0027),0.940,0.933,0.940,0.0439
"(4000,15,800,15,4,0.8)",0.0188 (0.0032),0.952,0.945,0.953,0.0420
"(4000,15,800,15,12,0.8)",0.0137 (0.0016),0.944,0.937,0.944,0.0462
"(4000,15,800,10,8,0.8)",0.0105 (0.0017),0.946,0.947,0.946,0.0389
"(4000,15,800,20,8,0.8)",0.0243 (0.0036),0.941,0.932,0.941,0.0497
"(4000,15,800,15,8,0.5)",0.0240 (0.0038),0.940,0.949,0.940,0.0550
"(4000,15,800,15,8,0.3)",0.0943 (0.0281),0.928,0.941,0.928,0.0792
Simulation Results for Simultaneous Inference,,,,,,
"(n,m, d, s∗, s0, ε)",cov,covS,covSc,len(cov),len(covS,len(covSc
